study_time,idle_time,break_time,tasks_completed,session_time,time_of_day,focus_score
102,180,15,7,312,night,76
423,180,63,6,600,morning,100
132,180,20,5,341,morning,74
108,180,16,6,312,evening,60
380,180,57,8,600,evening,100
72,180,11,6,273,night,94
426,114,64,10,600,evening,99
264,180,40,8,489,evening,97
480,42,72,5,600,morning,79
306,120,46,9,477,morning,91
132,180,20,5,349,afternoon,100
258,180,39,10,485,night,100
90,180,14,7,297,morning,68
148,180,22,9,355,night,98
270,54,40,11,369,afternoon,100
312,180,47,9,553,night,100
288,108,43,11,450,morning,100
312,120,47,11,498,night,87
5,174,5,6,200,afternoon,60
324,180,49,9,559,night,92
318,180,48,6,553,afternoon,100
228,180,34,7,456,night,100
348,180,52,11,594,afternoon,94
270,180,40,7,506,morning,79
210,180,32,9,428,morning,100
360,180,54,7,600,evening,90
480,180,72,6,600,morning,91
450,78,68,8,600,night,100
312,180,47,6,545,night,99
306,180,46,11,543,morning,76
102,168,15,7,303,night,100
372,180,56,12,600,morning,100
467,180,70,8,600,night,99
221,180,33,11,441,evening,90
342,156,51,10,558,afternoon,85
378,180,57,7,600,night,100
198,180,30,5,418,night,91
312,162,47,10,530,night,100
120,180,18,8,332,evening,90
354,180,53,11,597,night,100
360,180,54,12,600,evening,100
204,138,31,12,389,evening,99
372,180,56,8,600,night,100
240,90,36,12,383,night,74
42,180,6,7,246,evening,100
318,180,48,10,557,afternoon,88
294,180,44,9,532,morning,71
126,150,19,8,311,night,100
102,180,15,8,315,evening,58
168,180,25,11,390,night,100
186,162,28,6,382,night,100
234,180,35,9,461,night,51
217,180,33,9,440,morning,89
350,180,52,8,598,afternoon,85
180,180,27,5,396,morning,100
288,108,43,7,450,afternoon,68
162,180,24,6,384,evening,100
252,180,38,7,476,afternoon,96
168,180,25,11,392,night,94
264,180,40,8,491,morning,95
90,138,14,6,254,evening,86
462,120,69,8,600,evening,94
108,180,16,10,309,morning,90
258,180,39,11,489,afternoon,99
366,180,55,9,600,morning,91
264,168,40,11,479,night,87
312,180,47,5,556,afternoon,99
258,180,39,6,493,morning,56
300,180,45,11,532,night,100
444,120,67,12,600,evening,77
162,180,24,6,381,night,85
204,180,31,5,430,night,95
306,180,46,5,549,morning,85
150,180,22,11,358,afternoon,82
330,180,50,11,574,evening,94
72,180,11,8,274,afternoon,95
186,180,28,8,408,morning,100
84,180,13,11,288,morning,87
186,60,28,6,288,morning,96
180,180,27,10,399,afternoon,83
294,180,44,7,533,afternoon,91
120,180,18,12,327,night,88
354,180,53,6,594,night,100
264,180,40,8,489,morning,99
144,180,22,6,357,night,83
330,180,50,10,572,evening,100
240,180,36,10,469,morning,76
378,162,57,11,600,morning,100
462,180,69,7,600,morning,100
234,180,35,10,463,afternoon,100
6,180,5,7,196,night,81
252,180,38,7,483,morning,95
66,180,10,6,272,evening,91
408,180,61,5,600,afternoon,100
180,180,27,7,403,morning,93
96,156,14,11,273,night,100
5,180,5,5,206,night,67
84,174,13,10,282,evening,78
402,180,60,10,600,evening,100
408,180,61,5,600,evening,99
204,180,31,7,428,afternoon,100
168,180,25,10,392,night,100
270,180,40,8,500,night,98
312,180,47,6,558,morning,98
396,60,59,9,529,afternoon,100
270,180,40,7,501,afternoon,98
234,180,35,5,458,evening,100
174,180,26,12,397,afternoon,75
90,180,14,11,294,night,72
126,180,19,10,343,night,77
228,180,34,10,455,night,77
300,180,45,8,531,morning,100
147,78,22,7,254,evening,90
450,96,68,12,600,evening,78
111,180,17,11,317,evening,100
144,180,22,9,365,evening,100
210,180,32,11,433,evening,79
397,180,60,11,600,evening,93
270,180,40,10,507,morning,100
294,180,44,8,530,afternoon,92
222,180,33,9,450,night,72
258,180,39,10,484,morning,95
144,180,22,6,353,morning,100
48,180,7,5,245,evening,76
420,180,63,9,600,night,92
228,180,34,10,448,night,80
480,180,72,11,600,afternoon,100
216,180,32,5,440,afternoon,65
144,180,22,9,357,night,75
270,180,40,10,500,morning,96
324,180,49,8,559,night,72
480,180,72,9,600,evening,98
102,180,15,12,312,morning,91
348,180,52,10,591,afternoon,98
480,180,72,9,600,night,97
420,180,63,10,600,morning,86
300,180,45,10,538,night,75
6,180,5,7,206,morning,83
354,66,53,5,480,evening,94
264,180,40,8,492,night,96
336,180,50,10,583,afternoon,82
438,60,66,11,570,morning,100
174,180,26,8,387,evening,90
216,108,32,10,375,afternoon,80
48,144,7,12,212,morning,95
292,180,44,10,523,night,98
216,180,32,8,442,afternoon,66
36,180,5,5,229,afternoon,98
258,180,39,11,489,night,96
12,138,5,8,160,evening,99
204,162,31,5,406,evening,78
300,180,45,6,538,evening,96
174,180,26,10,387,afternoon,100
300,180,45,12,530,night,98
151,180,23,8,372,morning,100
270,180,40,6,501,night,99
378,180,57,11,600,morning,96
408,180,61,12,600,morning,100
54,54,8,8,125,evening,78
162,180,24,7,381,afternoon,98
76,60,11,6,152,night,100
216,180,32,7,434,morning,94
313,180,47,11,545,afternoon,100
438,180,66,10,600,morning,100
5,180,5,9,205,afternoon,45
348,180,52,6,592,afternoon,100
210,180,32,12,429,evening,87
216,96,32,9,349,morning,84
204,150,31,9,401,morning,99
316,180,47,10,552,afternoon,93
204,138,31,8,378,morning,100
294,180,44,6,523,night,100
264,180,40,7,495,night,82
402,180,60,8,600,evening,100
384,180,58,5,600,evening,97
480,180,72,7,600,afternoon,100
252,180,38,11,485,night,100
288,180,43,10,518,morning,87
252,180,38,5,485,afternoon,89
138,156,21,12,328,morning,100
150,180,22,7,370,afternoon,87
246,180,37,10,475,morning,100
312,180,47,6,548,night,100
318,180,48,7,564,morning,95
426,180,64,8,600,evening,83
222,180,33,6,453,morning,100
90,180,14,6,291,afternoon,66
354,180,53,7,600,evening,76
405,156,61,7,600,morning,97
402,102,60,5,579,afternoon,100
321,180,48,7,560,afternoon,75
126,180,19,8,341,evening,90
282,180,42,10,518,afternoon,100
336,180,50,5,580,afternoon,100
252,180,38,11,489,morning,96
270,48,40,9,363,morning,100
336,180,50,10,572,evening,98
156,180,23,9,367,evening,80
414,180,62,11,600,evening,95
384,180,58,8,600,night,100
216,180,32,8,445,morning,94
33,180,5,7,237,morning,90
391,180,59,7,600,morning,97
84,180,13,7,293,evening,77
474,180,71,10,600,night,94
396,180,59,11,600,afternoon,86
126,180,19,6,343,night,55
480,180,72,7,600,evening,98
216,180,32,6,437,night,93
243,180,36,6,472,evening,90
168,180,25,10,386,morning,84
192,180,29,11,414,evening,93
150,180,22,12,363,night,95
330,180,50,6,576,evening,100
349,180,52,11,587,night,86
443,180,66,6,600,evening,97
319,180,48,10,563,night,96
204,180,31,11,433,evening,97
126,180,19,8,343,afternoon,76
300,180,45,8,536,morning,100
78,180,12,9,288,afternoon,100
252,180,38,10,483,night,86
300,180,45,7,537,night,81
409,180,61,7,600,evening,98
180,180,27,10,395,evening,97
240,30,36,8,317,afternoon,89
216,180,32,12,433,afternoon,75
90,60,14,5,175,afternoon,74
204,42,31,8,284,night,73
180,180,27,12,396,evening,66
84,180,13,11,285,night,67
5,180,5,10,204,night,54
372,180,56,8,600,morning,100
448,180,67,11,600,afternoon,99
144,180,22,10,355,afternoon,93
144,180,22,11,354,evening,100
444,90,67,7,600,night,100
258,180,39,9,495,evening,100
138,180,21,10,349,night,76
366,180,55,12,600,morning,81
204,180,31,11,434,night,82
480,180,72,7,600,evening,100
318,180,48,8,551,morning,100
294,180,44,6,534,night,88
294,180,44,8,523,evening,81
384,180,58,8,600,afternoon,94
192,180,29,10,409,afternoon,100
357,180,54,5,600,night,81
169,180,25,10,380,morning,97
258,180,39,8,488,evening,100
330,180,50,11,578,afternoon,100
36,180,5,10,233,morning,100
240,180,36,7,462,morning,71
252,180,38,5,481,night,90
192,180,29,7,420,afternoon,57
132,180,20,5,344,night,93
96,180,14,8,307,morning,64
240,180,36,10,473,afternoon,96
348,180,52,6,598,morning,100
30,180,5,9,226,afternoon,97
296,156,44,5,513,evening,91
258,180,39,5,488,morning,94
210,180,32,5,427,evening,100
234,132,35,7,416,morning,78
12,48,5,8,78,evening,91
192,180,29,11,416,morning,58
120,114,18,6,270,afternoon,96
204,180,31,9,425,evening,84
282,180,42,7,510,morning,100
192,180,29,7,406,evening,100
232,72,35,5,355,morning,99
312,180,47,6,552,afternoon,100
295,126,44,8,480,evening,100
306,180,46,8,549,afternoon,100
342,180,51,5,579,morning,83
204,180,31,7,425,morning,92
336,180,50,10,574,afternoon,96
141,120,21,8,295,morning,78
234,180,35,10,454,afternoon,85
234,180,35,8,466,afternoon,100
480,180,72,6,600,morning,96
282,180,42,8,522,evening,98
156,180,23,8,371,afternoon,93
168,180,25,7,390,evening,73
336,174,50,5,573,evening,96
30,180,5,11,232,night,78
330,180,50,10,566,morning,86
204,180,31,8,428,night,89
54,180,8,8,257,night,71
313,180,47,9,547,morning,89
282,180,42,8,513,afternoon,75
264,180,40,10,492,morning,100
396,180,59,12,600,evening,100
314,180,47,10,546,afternoon,99
180,180,27,10,393,evening,79
291,180,44,7,523,night,100
234,138,35,8,421,morning,100
78,180,12,11,282,afternoon,72
204,174,31,11,418,afternoon,100
258,180,39,7,483,afternoon,77
378,108,57,9,558,afternoon,100
324,180,49,10,568,afternoon,100
352,180,53,9,595,morning,100
438,180,66,7,600,morning,98
192,180,29,5,417,afternoon,100
174,18,26,11,234,evening,79
330,180,50,10,568,afternoon,100
174,180,26,10,386,morning,72
396,180,59,7,600,evening,89
294,180,44,10,526,evening,99
378,180,57,10,600,night,83
330,180,50,7,571,evening,95
120,180,18,7,327,night,90
384,150,58,9,600,morning,100
168,180,25,9,383,morning,96
258,180,39,8,488,night,87
354,180,53,11,600,morning,100
191,162,29,12,390,morning,85
120,180,18,12,328,night,88
264,180,40,7,494,morning,100
288,180,43,8,525,night,68
300,180,45,5,535,afternoon,100
228,180,34,12,456,afternoon,97
192,180,29,7,411,night,97
312,18,47,10,388,evening,91
192,180,29,10,413,evening,97
174,180,26,10,399,morning,65
120,42,18,10,185,afternoon,96
198,180,30,10,426,afternoon,95
364,180,55,10,600,evening,100
372,168,56,8,600,morning,100
24,180,5,11,220,afternoon,63
390,180,58,11,600,afternoon,100
127,180,19,8,337,night,98
270,180,40,6,506,evening,90
72,180,11,7,277,evening,100
306,180,46,6,538,morning,100
366,180,55,10,600,evening,100
348,180,52,6,598,evening,92
360,180,54,11,600,night,97
258,180,39,6,489,night,85
180,180,27,10,405,afternoon,100
108,180,16,7,313,night,99
114,156,17,6,299,morning,98
72,102,11,5,203,evening,100
90,180,14,5,298,evening,80
300,174,45,10,527,morning,100
480,180,72,7,600,morning,100
378,180,57,8,600,morning,82
282,102,42,8,436,night,72
336,180,50,5,582,morning,93
270,180,40,10,506,evening,85
276,180,41,9,510,night,75
252,180,38,11,484,night,98
180,180,27,11,393,evening,100
228,180,34,10,449,afternoon,100
54,180,8,7,248,evening,78
282,180,42,10,515,evening,91
294,156,44,9,503,afternoon,100
270,180,40,9,495,afternoon,79
270,180,40,7,506,morning,100
420,180,63,8,600,morning,98
270,180,40,7,502,night,91
186,180,28,6,409,night,60
323,48,48,9,434,afternoon,100
342,156,51,11,559,afternoon,94
169,180,25,8,380,evening,90
324,180,49,5,567,evening,87
180,180,27,11,398,evening,78
270,174,40,11,491,afternoon,100
258,180,39,9,487,afternoon,92
480,180,72,8,600,night,93
438,180,66,8,600,night,100
475,180,71,7,600,morning,100
228,78,34,11,350,morning,100
341,180,51,7,589,evening,94
24,180,5,5,223,evening,93
306,180,46,5,537,morning,94
120,120,18,12,273,night,100
66,180,10,11,268,afternoon,78
156,180,23,7,372,evening,91
426,180,64,6,600,night,100
383,180,57,8,600,morning,100
300,180,45,11,536,afternoon,90
318,180,48,6,565,afternoon,100
236,180,35,6,456,afternoon,95
5,180,5,9,201,evening,68
216,180,32,6,433,evening,98
216,180,32,9,447,morning,100
396,180,59,9,600,evening,92
364,180,55,8,600,evening,99
182,180,27,12,408,afternoon,71
312,114,47,6,489,morning,89
96,180,14,8,296,afternoon,94
318,180,48,5,558,afternoon,67
388,180,58,6,600,morning,97
294,180,44,11,532,afternoon,100
162,180,24,8,381,evening,97
429,180,64,10,600,morning,100
168,180,25,7,386,afternoon,100
252,138,38,9,441,evening,97
186,108,28,11,340,evening,76
336,180,50,10,582,morning,92
144,180,22,5,353,evening,86
396,180,59,10,600,afternoon,99
198,180,30,10,419,afternoon,98
150,180,22,11,371,evening,99
232,180,35,6,460,night,100
300,180,45,8,544,morning,77
252,114,38,9,423,evening,72
186,180,28,10,402,afternoon,96
174,180,26,8,388,evening,79
114,180,17,12,316,morning,69
247,132,37,6,421,morning,81
438,180,66,9,600,morning,86
456,180,68,5,600,evening,75
324,180,49,9,564,afternoon,88
354,180,53,8,600,morning,100
264,120,40,9,443,night,100
258,180,39,9,495,night,89
300,180,45,11,536,morning,98
204,180,31,6,424,afternoon,100
54,180,8,10,250,afternoon,83
336,180,50,10,574,afternoon,80
480,156,72,6,600,evening,100
276,180,41,5,510,afternoon,73
156,42,23,5,234,night,96
240,180,36,10,472,evening,94
324,120,49,12,512,afternoon,100
246,180,37,9,470,evening,80
479,180,72,8,600,evening,77
132,180,20,5,347,evening,100
353,180,53,10,600,evening,73
270,180,40,5,497,afternoon,97
258,180,39,6,491,morning,97
360,180,54,12,600,morning,100
180,180,27,11,402,night,99
480,156,72,6,600,afternoon,100
174,180,26,8,397,evening,98
288,180,43,6,530,evening,80
180,180,27,9,396,evening,74
5,180,5,9,196,evening,67
78,180,12,7,280,night,83
168,180,25,11,389,morning,60
102,180,15,9,313,night,99
102,18,15,10,149,evening,64
372,180,56,10,600,evening,100
300,180,45,10,541,night,86
294,180,44,9,535,morning,99
318,150,48,11,526,afternoon,93
60,180,9,6,258,evening,94
204,180,31,11,424,afternoon,71
276,180,41,12,511,afternoon,74
210,180,32,11,431,afternoon,75
96,180,14,11,308,morning,97
390,180,58,10,600,morning,93
264,180,40,12,501,afternoon,100
156,180,23,7,373,evening,88
302,180,45,10,541,night,80
314,180,47,5,547,night,100
162,180,24,7,374,morning,80
162,174,24,11,371,night,70
210,180,32,9,429,afternoon,69
174,132,26,7,350,morning,99
72,180,11,10,282,night,68
246,180,37,5,481,morning,96
228,180,34,9,452,evening,96
324,132,49,10,524,afternoon,77
72,180,11,5,277,night,58
120,180,18,10,330,morning,81
138,180,21,8,358,night,73
264,180,40,6,497,morning,100
306,180,46,10,543,afternoon,94
426,180,64,11,600,afternoon,94
222,180,33,6,450,night,99
270,180,40,10,499,evening,100
138,132,21,11,306,night,70
270,180,40,10,503,night,99
390,180,58,6,600,morning,84
156,144,23,9,336,evening,82
211,180,32,10,431,morning,87
192,180,29,6,412,night,100
242,180,36,6,468,night,67
138,180,21,5,358,morning,96
306,180,46,9,548,afternoon,79
168,180,25,10,380,evening,100
480,162,72,10,600,evening,93
156,180,23,9,375,afternoon,85
180,180,27,9,403,morning,100
306,180,46,10,547,night,82
108,180,16,7,321,night,96
204,180,31,10,422,evening,70
411,180,62,10,600,evening,100
68,180,10,5,277,night,55
246,180,37,7,479,evening,85
228,180,34,6,454,evening,82
144,180,22,5,354,afternoon,71
192,180,29,6,415,evening,87
150,48,22,6,231,afternoon,86
256,180,38,9,483,night,81
300,180,45,7,540,afternoon,92
408,180,61,8,600,morning,92
444,102,67,6,600,morning,100
162,180,24,9,377,evening,81
312,180,47,6,551,afternoon,96
324,180,49,6,559,afternoon,94
330,180,50,10,566,evening,99
241,138,36,8,428,afternoon,96
324,180,49,11,560,night,85
438,180,66,8,600,evening,90
210,180,32,10,438,evening,89
252,180,38,9,488,morning,87
180,180,27,9,401,afternoon,53
257,180,39,10,488,afternoon,98
388,180,58,9,600,morning,91
102,162,15,8,295,morning,78
54,156,8,8,234,night,49
360,126,54,11,552,evening,100
270,180,40,10,499,evening,94
288,180,43,8,525,evening,73
198,180,30,8,424,evening,91
264,180,40,6,491,morning,94
216,114,32,7,369,evening,98
298,180,45,11,532,afternoon,82
120,180,18,6,329,night,88
54,180,8,9,248,afternoon,100
234,180,35,5,458,afternoon,91
234,132,35,8,414,evening,86
450,180,68,9,600,afternoon,100
360,180,54,6,600,morning,100
402,180,60,5,600,night,94
84,180,13,10,285,afternoon,70
138,180,21,11,357,morning,96
156,180,23,11,371,morning,81
246,180,37,11,480,morning,93
102,180,15,7,305,afternoon,89
390,180,58,11,600,night,99
5,180,5,9,208,evening,67
246,180,37,7,472,evening,96
235,180,35,9,460,afternoon,77
198,180,30,11,414,evening,98
126,180,19,7,334,night,60
306,180,46,5,541,morning,100
228,180,34,11,457,morning,99
270,180,40,7,499,afternoon,83
150,180,22,11,371,night,73
306,150,46,12,521,night,98
297,180,45,6,535,night,72
246,180,37,9,475,afternoon,91
282,180,42,6,511,afternoon,87
216,180,32,10,447,night,88
166,180,25,5,379,afternoon,92
120,162,18,5,314,evening,57
142,12,21,5,180,evening,93
240,12,36,7,302,morning,65
72,180,11,12,278,night,52
372,180,56,5,600,night,100
204,174,31,10,420,morning,84
24,180,5,6,214,night,83
294,180,44,5,524,evening,89
108,180,16,7,311,afternoon,90
372,24,56,11,470,afternoon,100
360,180,54,11,600,night,76
276,180,41,10,502,afternoon,98
180,180,27,9,396,evening,94
72,72,11,10,161,evening,100
288,78,43,5,424,morning,97
300,78,45,7,441,night,100
120,180,18,12,334,night,98
174,180,26,11,398,morning,90
216,180,32,5,437,night,58
55,126,8,11,206,morning,100
384,180,58,9,600,morning,97
176,180,26,6,389,evening,100
263,30,39,10,350,night,100
126,180,19,8,344,evening,100
183,180,27,9,405,afternoon,93
156,180,23,7,366,night,93
474,36,71,7,591,evening,100
204,180,31,8,429,evening,72
306,180,46,10,551,morning,86
5,180,5,5,195,morning,68
210,180,32,8,430,evening,93
312,180,47,10,558,afternoon,100
336,180,50,5,580,afternoon,85
42,180,6,8,243,afternoon,80
210,180,32,10,435,night,71
312,180,47,10,554,afternoon,85
78,66,12,5,161,evening,100
353,180,53,8,597,afternoon,90
248,150,37,8,452,night,95
330,180,50,10,570,evening,98
174,180,26,10,393,afternoon,88
18,168,5,10,196,night,62
216,180,32,7,446,morning,81
318,180,48,10,558,night,87
48,180,7,8,254,night,63
366,180,55,5,600,evening,91
426,180,64,9,600,afternoon,100
468,180,70,11,600,evening,98
168,180,25,9,391,morning,91
285,150,43,11,484,night,85
168,180,25,5,385,morning,65
300,180,45,10,533,evening,92
18,162,5,10,199,evening,91
270,180,40,8,502,morning,93
104,180,16,11,314,night,91
420,180,63,12,600,morning,95
299,180,45,10,542,afternoon,100
294,180,44,12,536,night,86
228,180,34,6,460,evening,98
252,180,38,5,477,evening,95
180,180,27,11,403,afternoon,100
288,180,43,11,516,night,95
222,120,33,10,380,evening,73
168,180,25,10,386,night,90
162,180,24,8,381,evening,95
90,150,14,11,262,afternoon,100
5,180,5,11,205,evening,91
198,180,30,9,415,night,99
102,180,15,11,314,morning,66
378,180,57,9,600,morning,91
240,180,36,5,462,night,80
398,180,60,10,600,afternoon,100
312,180,47,7,546,morning,100
204,180,31,12,434,afternoon,96
384,180,58,7,600,afternoon,100
192,180,29,7,415,evening,79
234,180,35,9,460,evening,97
288,180,43,6,522,night,83
390,180,58,8,600,night,99
252,108,38,8,417,night,100
222,180,33,6,448,morning,100
334,180,50,8,573,afternoon,99
342,180,51,11,578,afternoon,94
414,180,62,8,600,night,97
282,180,42,6,520,afternoon,92
270,180,40,6,501,morning,96
414,180,62,5,600,afternoon,94
204,180,31,10,423,morning,91
354,180,53,6,595,evening,94
354,66,53,10,481,evening,77
450,180,68,9,600,night,70
350,156,52,9,573,evening,99
270,180,40,7,505,afternoon,93
264,174,40,11,483,night,73
348,180,52,11,586,night,93
366,180,55,5,600,afternoon,100
342,180,51,11,582,morning,75
366,180,55,9,600,night,100
156,180,23,6,372,morning,80
168,36,25,10,235,evening,96
366,180,55,8,600,morning,94
396,180,59,7,600,afternoon,97
480,180,72,12,600,afternoon,94
276,156,41,10,482,night,86
5,96,5,7,123,night,100
40,180,6,7,232,evening,76
180,90,27,11,308,morning,100
211,180,32,6,428,morning,100
282,180,42,8,515,night,91
348,84,52,10,499,afternoon,93
418,168,63,7,600,morning,99
294,132,44,5,476,morning,79
211,144,32,10,405,night,100
156,180,23,10,366,night,82
480,180,72,12,600,evening,74
270,180,40,11,495,night,80
192,180,29,8,418,morning,90
126,180,19,7,340,afternoon,53
126,180,19,10,335,night,64
156,180,23,7,370,night,95
36,180,5,11,230,evening,96
414,180,62,11,600,morning,76
240,180,36,6,466,morning,100
251,180,38,11,486,night,92
240,180,36,9,472,morning,81
180,180,27,8,398,morning,100
234,180,35,8,459,afternoon,100
126,180,19,6,339,afternoon,79
72,180,11,9,275,afternoon,100
354,180,53,6,597,night,77
288,180,43,11,518,morning,100
234,132,35,9,418,afternoon,70
468,180,70,6,600,night,90
360,132,54,8,560,afternoon,92
198,126,30,6,373,afternoon,94
372,162,56,5,600,night,73
360,72,54,12,501,afternoon,80
114,180,17,10,327,morning,100
258,114,39,8,426,night,100
258,180,39,6,486,afternoon,97
270,180,40,6,509,evening,95
240,180,36,10,466,afternoon,71
132,102,20,7,269,evening,99
60,180,9,8,258,morning,73
307,180,46,7,541,night,95
84,150,13,12,260,night,71
132,174,20,5,337,night,95
414,180,62,5,600,afternoon,88
480,180,72,7,600,evening,100
288,180,43,8,527,night,100
174,180,26,5,397,evening,84
372,180,56,5,600,evening,100
270,180,40,7,497,afternoon,99
42,180,6,5,241,afternoon,92
240,180,36,10,472,afternoon,94
138,180,21,11,347,evening,92
306,114,46,5,482,morning,98
439,66,66,6,578,night,96
210,180,32,10,429,morning,70
282,180,42,11,523,evening,100
216,180,32,9,436,evening,92
126,180,19,11,331,evening,69
272,126,41,6,455,morning,79
240,180,36,11,475,afternoon,70
120,180,18,10,330,afternoon,80
253,180,38,6,485,afternoon,88
342,180,51,6,584,afternoon,100
48,180,7,9,252,night,97
102,180,15,8,304,evening,74
480,180,72,5,600,evening,100
234,180,35,9,458,morning,96
282,180,42,8,514,evening,62
234,180,35,8,468,morning,100
288,180,43,6,518,night,69
228,180,34,9,457,night,76
281,180,42,7,519,evening,78
233,180,35,10,453,morning,68
198,180,30,5,423,morning,100
156,180,23,6,366,afternoon,83
198,180,30,10,417,morning,98
310,180,46,8,542,evening,91
294,180,44,6,535,night,81
198,180,30,5,419,night,95
366,180,55,8,600,night,80
150,180,22,9,358,morning,100
324,180,49,9,561,morning,100
84,180,13,9,291,morning,89
252,180,38,7,489,evening,76
378,180,57,8,600,morning,94
276,180,41,8,516,night,89
480,108,72,9,600,morning,100
432,180,65,8,600,night,100
432,180,65,10,600,morning,100
192,180,29,5,416,night,99
294,180,44,8,529,evening,100
354,180,53,6,600,morning,85
324,108,49,11,496,morning,100
312,180,47,9,549,afternoon,90
480,180,72,9,600,morning,91
312,180,47,5,551,evening,95
480,180,72,8,600,afternoon,100
270,180,40,9,498,afternoon,98
372,180,56,7,600,morning,85
425,162,64,6,600,afternoon,92
480,180,72,8,600,night,82
222,180,33,6,443,morning,100
282,180,42,8,523,evening,82
204,180,31,5,428,morning,100
180,180,27,7,395,evening,100
348,180,52,9,596,evening,67
270,180,40,12,499,morning,98
384,180,58,12,600,night,97
198,180,30,5,417,morning,97
222,162,33,5,424,morning,92
396,180,59,5,600,afternoon,100
186,180,28,9,403,morning,77
252,180,38,11,481,afternoon,80
216,180,32,5,442,afternoon,97
480,180,72,9,600,night,81
210,180,32,11,434,evening,91
198,180,30,7,414,morning,92
306,174,46,11,542,night,84
246,180,37,7,482,evening,100
180,180,27,10,401,night,99
390,180,58,10,600,morning,95
14,138,5,9,167,evening,76
25,108,5,5,146,morning,65
391,180,59,11,600,night,70
282,180,42,6,511,afternoon,88
5,180,5,12,197,evening,100
376,180,56,10,600,afternoon,99
5,144,5,5,169,morning,100
144,6,22,8,191,morning,92
399,144,60,11,600,afternoon,97
407,162,61,10,600,evening,100
138,180,21,7,345,night,71
282,180,42,8,517,night,100
294,180,44,9,525,afternoon,79
219,126,33,8,395,evening,86
420,120,63,6,600,afternoon,100
276,180,41,7,508,afternoon,73
120,180,18,7,337,night,65
270,180,40,12,499,evening,100
90,180,14,10,297,evening,87
438,180,66,10,600,morning,89
336,180,50,5,577,evening,100
84,180,13,7,285,afternoon,97
270,180,40,6,499,afternoon,93
30,144,5,8,185,afternoon,70
294,180,44,8,526,morning,100
266,180,40,10,503,morning,88
294,180,44,9,526,afternoon,77
264,54,40,7,366,afternoon,96
144,180,22,10,365,morning,99
276,180,41,9,508,night,100
266,180,40,7,505,evening,98
240,180,36,10,473,afternoon,93
366,180,55,10,600,morning,100
126,180,19,7,333,evening,100
306,180,46,10,547,night,74
414,30,62,8,514,afternoon,95
468,180,70,9,600,morning,78
126,180,19,7,333,morning,83
278,180,42,7,517,morning,87
162,180,24,7,372,afternoon,67
5,180,5,8,207,evening,100
300,180,45,11,536,morning,100
234,114,35,6,400,morning,100
318,180,48,8,557,afternoon,100
114,180,17,10,327,night,80
156,180,23,5,370,night,89
294,180,44,6,534,night,75
222,180,33,6,454,evening,90
444,180,67,9,600,morning,100
222,180,33,9,451,evening,99
330,150,50,9,545,afternoon,100
282,180,42,6,510,morning,79
204,180,31,9,422,night,93
234,180,35,12,464,evening,96
84,150,13,5,256,morning,94
264,168,40,9,479,night,90
114,180,17,12,317,evening,100
354,180,53,5,598,evening,79
264,180,40,10,501,afternoon,92
390,180,58,6,600,morning,100
150,180,22,8,367,night,92
270,180,40,8,503,night,100
144,180,22,11,363,evening,77
168,180,25,9,390,afternoon,96
348,180,52,11,595,night,94
174,180,26,9,396,afternoon,100
120,180,18,7,337,night,98
468,180,70,9,600,morning,100
234,180,35,9,459,evening,76
312,180,47,10,556,afternoon,75
240,180,36,12,461,night,82
300,180,45,5,544,evening,98
90,48,14,5,163,morning,100
306,180,46,9,540,morning,100
422,180,63,12,600,morning,100
345,180,52,6,595,night,100
426,168,64,6,600,night,95
426,180,64,6,600,afternoon,100
54,180,8,8,260,morning,100
280,180,42,6,518,afternoon,94
234,180,35,7,459,morning,81
216,180,32,10,444,afternoon,100
5,84,5,9,102,afternoon,74
269,180,40,11,505,afternoon,97
240,180,36,8,469,morning,93
472,180,71,10,600,morning,95
408,180,61,7,600,night,100
235,180,35,5,464,morning,85
211,180,32,9,430,morning,94
204,180,31,9,429,evening,72
334,180,50,7,580,night,87
354,42,53,12,468,evening,77
84,180,13,8,293,afternoon,100
348,180,52,11,591,night,99
6,180,5,7,197,night,72
293,180,44,11,535,evening,97
5,180,5,8,207,morning,78
324,180,49,8,564,morning,95
156,180,23,7,369,morning,100
168,180,25,7,392,evening,73
192,180,29,9,416,evening,92
228,180,34,6,447,evening,100
102,180,15,7,304,morning,98
150,180,22,7,359,night,88
396,180,59,5,600,night,98
163,174,24,5,372,night,83
474,180,71,8,600,evening,98
216,48,32,6,307,evening,65
312,180,47,7,552,night,79
354,72,53,7,493,afternoon,75
186,162,28,7,391,evening,100
126,180,19,7,336,morning,98
318,180,48,6,562,morning,97
168,180,25,7,386,night,98
78,180,12,5,283,night,98
252,180,38,7,480,morning,94
360,180,54,6,599,evening,96
162,180,24,6,371,afternoon,95
228,180,34,8,449,evening,97
54,180,8,5,254,night,96
132,180,20,9,346,night,97
72,48,11,9,137,afternoon,100
210,180,32,8,429,afternoon,90
288,42,43,8,392,morning,65
102,180,15,9,303,afternoon,89
358,180,54,7,600,night,100
96,174,14,8,295,evening,69
222,180,33,6,442,afternoon,72
348,180,52,6,593,morning,83
228,180,34,8,453,morning,100
264,144,40,11,463,night,86
168,138,25,10,348,afternoon,90
378,180,57,9,600,morning,96
354,156,53,10,582,afternoon,100
401,180,60,8,600,afternoon,100
102,162,15,5,295,afternoon,75
301,180,45,7,534,morning,99
389,180,58,11,600,morning,94
